id,proper,mag,absmag,ci,x,y,z
27006,,3.59,3.836,0.481,0.558889,8.231515,-3.40875
27034,,4.34,1.032,0.217,1.251539,18.809293,-41.819199
27220,,3.55,1.877,0.104,1.188275,20.854933,-5.52761
27253,,3.85,2.407,0.171,0.677437,12.19782,-15.122127
27298,Saiph,2.07,-4.418,-0.168,10.444137,195.314937,-33.326707
27399,,4.88,-0.356,1.021,4.857404,101.274086,46.350723
27414,,4.51,0.499,0.949,2.321024,49.098662,40.061577
27442,,4.89,0.478,-0.068,3.392778,74.348536,16.706174
27461,,4.5,0.83,1.075,1.339002,30.14806,-45.022342
27559,Wazn,3.12,0.985,1.146,0.855327,21.672805,-15.624858
27569,,4.72,-1.304,1.621,4.981894,127.37315,97.126124
27585,,3.76,1.048,0.984,1.233354,32.555386,-12.426988
27604,,3.97,-0.275,1.132,2.033173,54.730173,44.585685
27681,,4.76,-3.174,1.382,12.726124,385.688226,12.499052
27741,,4.88,-0.175,-0.154,2.560109,85.189583,-57.058132
27761,,4.56,-1.005,-0.008,3.345638,114.880414,60.114815
27821,,4.65,2.555,1.022,0.305734,11.875322,-23.404792
27844,,4.39,4.702,0.594,0.199145,8.12391,3.002187
27880,,4.96,0.642,0.052,0.925394,41.145542,60.348077
27919,Betelgeuse,0.45,-5.469,1.5,3.189296,151.364387,19.682142
27940,,4.97,-0.074,1.102,1.597973,81.348628,-61.581503
28032,,3.71,2.847,0.337,0.226289,14.424355,-3.64172
28127,,4.36,-2.77,-0.165,2.339512,217.669281,-154.031992
28165,,4.81,-3.579,-0.088,3.747114,428.148631,208.403863
28256,,3.96,-1.843,1.146,0.395224,106.157169,-98.3554
28287,,3.72,0.785,1.01,0.046526,22.55637,31.372845
28288,Menkalinan,1.9,-0.078,0.077,0.036195,17.601288,17.569058
28309,Mahasim,2.65,-0.878,-0.083,0.049188,40.426416,30.69934
28333,,4.3,-2.513,1.701,0.045456,160.242415,165.569637
28342,,4.53,-1.023,1.202,-0.031384,128.846834,-6.920028
28503,,4.92,-1.985,-0.128,-1.897366,236.276842,-44.210601
28543,,4.12,0.736,0.17,-0.487031,46.83194,7.961214
28645,,4.64,-4.072,0.236,-8.871117,518.633356,190.215445
28664,,4.16,0.774,0.835,-0.785331,43.678266,18.780748
28744,,4.92,-2.305,0.196,-5.809895,267.039134,-79.040392
28837,,4.67,1.05,0.046,-1.374348,51.158602,-13.650887
28962,Elkurud,5,-1.724,-0.095,-5.782732,176.005131,-133.923795
28966,,4.42,-1.576,-0.164,-5.054138,152.917263,40.334489
29203,,4.72,-3.282,-0.229,-10.273101,228.464394,-326.230539
29353,,4.45,-1.9,-0.18,-9.400594,180.27811,45.708737
29361,,4.95,-1.099,-0.149,-8.185486,155.478891,45.028347
29578,,3.99,-1.929,1.319,-9.829941,151.438427,-16.686522
29582,Propus,3.31,-2.048,1.6,-7.067151,108.713368,45.140745
29623,,4.32,0.648,1.021,-3.166482,47.119755,26.717109
29662,,5,-0.485,-0.078,-8.337689,121.147878,-29.643878
29734,,4.37,0.631,0.978,-3.302105,45.641526,-32.209615
29924,,4.76,1.112,0.025,-1.556212,18.881878,50.191283
29987,,4.44,1.033,0.032,-2.113811,24.62735,41.155331
30020,,4.91,-0.858,1.613,-12.394869,141.721462,-7.317466
30049,Furud,3.02,-2.209,-0.16,-8.512138,95.786306,-55.662081
30204,,3.85,-0.429,0.858,-5.767253,59.585068,-39.52731
30251,Mirzam,1.98,-3.916,-0.24,-14.209731,142.995999,-46.568852
30270,Tejat,2.87,-1.387,1.621,-6.562116,65.281443,27.194957
30346,,4.39,1.52,0.215,-3.86914,37.174221,3.002439
30365,Canopus,-0.62,-5.504,0.164,-5.992679,57.132034,-75.396105
30447,,4.92,-15.08,1.905,-7072.18485,64841.320779,75799.652572
30715,,4.47,-1.098,-0.169,-13.417279,108.608383,-69.932353
30794,,3.76,-2.825,-0.113,-25.823011,204.282357,-25.402943
30810,,4.13,-1.983,-0.115,-19.745914,155.415378,57.67907
31052,,4.34,-3.795,-0.245,-53.872246,385.075042,-168.408118
31139,,4.47,-15.53,0.023,-14190.69431,98161.685934,12763.527373
31330,,4.35,-3.758,-0.021,-38.301434,249.019454,-334.050014
31339,,4.54,-1.117,-0.035,-18.983936,123.138801,-52.796495
31512,,3.95,2.472,1.037,-2.971851,18.407811,-6.513678
31601,Alhena,1.93,-0.696,0.001,-5.266162,31.714389,9.461403
31605,,3.17,-2.113,-0.103,-13.61885,81.907249,-77.960909
31620,,4.42,-1.136,1.137,-20.194927,121.035795,-40.433628
31746,,4.82,-2.587,1.459,-50.114033,289.536851,-74.057517
31751,,4.8,-0.728,1.236,-16.062194,92.675681,86.154051
31895,,4.66,-2.589,-0.233,-49.352633,273.075535,48.410212
32161,Mebsuta,3.06,-4.007,1.377,-44.684834,230.247724,110.023705
32164,,4.49,-0.247,1.167,-16.44796,84.640667,20.268144
32263,Sirius,-1.44,1.454,0.009,-0.494323,2.476731,-0.758485
32276,Alzirr,3.35,2.074,0.443,-3.444569,17.203451,4.0169
32352,,4.86,0.768,0.084,-6.706626,32.791585,56.689392
32447,,4.77,-1.126,1.396,-30.67067,146.395704,21.120444
32492,,4.48,-0.783,1.099,-23.378565,110.316881,4.750306
32521,,3.24,0.883,0.225,-2.906455,13.618019,-26.124095
32672,,3.5,-3.027,-0.116,-36.758571,166.353338,-108.570651
32675,,4.41,-1.703,0.899,-21.369861,96.682187,-134.411909
32682,,2.94,-0.793,1.207,-7.654383,34.572281,-43.130564
32758,,4.99,-0.335,1.256,-19.027882,84.492261,77.385743
32769,,4.99,-2,1.379,-45.430987,201.296088,-141.124218
32932,,3.6,-0.216,0.102,-10.97736,46.812348,32.384569
33005,,4.82,-3.039,-0.212,-81.065196,340.61587,-128.990912
33065,,3.89,-16.11,1.74,-21346.953289,88690.467029,-40967.166217
33073,,4.08,-0.434,1.418,-18.313512,76.003688,-16.672541
33115,,4.73,2.686,0.321,-5.893353,24.247254,5.842527
33215,,4.66,2.305,0.374,-6.675726,26.963324,-10.185168
33258,,5,-2.908,1.182,-89.750517,359.229966,-92.617334
33260,,4.36,-5.07,-0.063,-178.337623,713.454932,-225.597739
33270,,4.94,-2.167,1.668,-42.307688,168.850157,-198.287093
33362,,4.35,0.661,0.85,-7.080952,27.740855,46.57936
33398,,4.9,0.558,0.027,-12.970166,50.498584,52.309156
33492,Adhara,1.5,-3.971,-0.211,-27.497987,105.141608,-60.171969
33607,,4.55,0.796,1.365,-3.289278,12.261351,54.888833
33769,Nganurganity,3.49,-4.191,1.729,-80.775471,292.659236,-160.9853
33882,,4.99,-2.869,-0.195,-100.870652,358.181085,-27.582498
33888,,3.02,-6.621,-0.077,-210.498109,746.064177,-342.438173
